,recall,precision,f1,accuracy,TP,FP,FN,TN,occurence_order,key,Loc,count
0,0.55,0.8461538461538461,0.6666666666666666,0.7987804878048781,33.0,6.0,27.0,98.0,0,0,Nucleoplasm,12885
10,0.5,0.8,0.6153846153846154,0.9695121951219512,4.0,1.0,4.0,155.0,10,1,Nuclear membrane,1254
3,0.25,0.5,0.3333333333333333,0.926829268292683,3.0,3.0,9.0,149.0,3,2,Nucleoli,3621
8,0.625,0.3333333333333333,0.43478260869565216,0.9207317073170732,5.0,10.0,3.0,146.0,8,3,Nucleoli fibrillar center,1561
7,0.1,0.125,0.1111111111111111,0.9024390243902439,1.0,7.0,9.0,147.0,7,4,Nuclear speckles,1858
6,0.36363636363636365,0.6666666666666666,0.47058823529411764,0.9451219512195121,4.0,2.0,7.0,151.0,6,5,Nuclear bodies,2513
13,0.25,0.16666666666666666,0.2,0.9512195121951219,1.0,5.0,3.0,155.0,13,6,Endoplasmic reticulum,1008
5,0.35294117647058826,0.6,0.4444444444444444,0.9085365853658537,6.0,4.0,11.0,143.0,5,7,Golgi apparatus,2822
23,,0.0,0.0,0.9146341463414634,0.0,14.0,0.0,150.0,23,8,Peroxisomes,53
24,,0.0,0.0,0.9024390243902439,0.0,16.0,0.0,148.0,24,9,Endosomes,45
25,,0.0,0.0,0.9207317073170732,0.0,13.0,0.0,151.0,25,10,Lysosomes,28
11,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.975609756097561,1.0,2.0,2.0,159.0,11,11,Intermediate filaments,1093
16,0.5,1.0,0.6666666666666666,0.9878048780487805,2.0,0.0,2.0,160.0,16,12,Actin filaments,688
17,0.5,0.5,0.5,0.975609756097561,2.0,2.0,2.0,158.0,17,13,Focal adhesion sites,537
12,0.3333333333333333,0.8,0.47058823529411764,0.9451219512195121,4.0,1.0,8.0,151.0,12,14,Microtubules,1066
26,,0.0,0.0,0.9878048780487805,0.0,2.0,0.0,162.0,26,15,Microtubule ends,21
18,0.25,0.5,0.3333333333333333,0.975609756097561,1.0,1.0,3.0,159.0,18,16,Cytokinetic bridge,530
21,0.3333333333333333,1.0,0.5,0.9878048780487805,1.0,0.0,2.0,161.0,21,17,Mitotic spindle,210
14,0.14285714285714285,0.5,0.2222222222222222,0.9573170731707317,1.0,1.0,6.0,156.0,14,18,Microtubule organizing center,902
9,0.08333333333333333,0.5,0.14285714285714285,0.926829268292683,1.0,1.0,11.0,151.0,9,19,Centrosome,1482
22,,0.0,0.0,0.9939024390243902,0.0,1.0,0.0,163.0,22,20,Lipid droplets,172
2,0.2222222222222222,0.5,0.3076923076923077,0.8902439024390244,4.0,4.0,14.0,142.0,2,21,Plasma membrane,3777
15,0.5,1.0,0.6666666666666666,0.9939024390243902,1.0,0.0,1.0,162.0,15,22,Cell junctions,802
4,0.13333333333333333,0.4,0.2,0.9024390243902439,2.0,3.0,13.0,146.0,4,23,Mitochondria,2965
20,0.5,0.6666666666666666,0.5714285714285714,0.9817073170731707,2.0,1.0,2.0,159.0,20,24,Aggresome,322
1,0.5,0.5227272727272727,0.5111111111111111,0.7317073170731707,23.0,21.0,23.0,97.0,1,25,Cytosol,8228
19,,0.0,0.0,0.9695121951219512,0.0,5.0,0.0,159.0,19,26,Cytoplasmic bodies,328
27,,,,1.0,0.0,0.0,0.0,164.0,27,27,Rods & rings,11
